BLAUW;#0000FF
BRUIN;#A52A2A
ZWART;#000000
PAARS;#800080
GRIJS;#808080
BORDEAUX;#8B0000
TAUPE;#ac9d96
TURQUOISE;#40E0D0
BEIGE;#F5F5DC 
WIT;#FFFFFF
ROZE;#f4c2c2
PLOMO;#6e7073
ROOM;#FFF8DC
COGNAC;#D2691E
JEANS;jeans.jpg
DONKER BLAUW;#00008B
ECRU;#f4e5d1
GOUD;#DAA520
ZILVER;#C0C0C0
BRONS;#cd7f32
ZALM;#FA8072
ROZEGOUD;#e0ac97
KOBALT;#0047ab
GROEN;#008000
ROOD;#FF0000
FUCHSIA;#FF00FF 
MINT;#abf0d1
X;#ffffff
DONKER GROEN;#063e23
MULTI;multi.jpg
ORANJE;#fe5e00
KHAKI;#F0E68C
ZWART/WIT;zwart-wit.jpg
ZACHT ROZE;#fadadd
TOFFEE;#b77237
LILA;#c2ace5
GEEL;#fef200
LICHT BLAUW;#92e2fd
CAMEL;#c09a6b
CHESTNUT;#944536
PETROL;#176f7b
DONKER BRUIN;#421805
CAMO;camo.jpg
PERZIK;#FFDAB9
KORAALROOD;#fe4040
OUD ROZE;#f4c2c2
ZEBRA;zebra.jpg
DONKER GRIJS;#626065
ZAND;#e5daba
